house,test_ratio,sampling_ratio,feature_length,accuracy
r2,0.7,30,900,0.725892857143
r2,0.7,30,1800,0.375
r2,0.7,30,3600,0.853571428571
r2,0.7,60,300,0.450793650794
r2,0.7,60,600,0.349801587302
r2,0.7,60,900,0.841071428571
r2,0.7,60,1800,0.510714285714
r2,0.7,60,3600,0.858333333333
r2,0.7,300,900,0.836011904762
r2,0.7,300,1800,0.492261904762
r2,0.7,300,3600,0.855952380952
r2,0.7,600,1800,0.456547619048
r2,0.7,600,3600,0.838095238095
r2,0.7,900,3600,0.8
r2,0.8,1,300,0.997395833333
r2,0.8,1,600,0.994618055556
r2,0.8,1,900,0.297395833333
r2,0.8,1,1800,0.9546875
r2,0.8,1,3600,0.984375
r2,0.8,5,300,0.306597222222
r2,0.8,5,600,0.819097222222
r2,0.8,5,900,0.362239583333
r2,0.8,5,1800,0.773958333333
r2,0.8,5,3600,0.78125
r2,0.8,10,300,0.514322916667
r2,0.8,10,600,0.865277777778
r2,0.8,10,900,0.4234375
r2,0.8,10,1800,0.8328125
r2,0.8,10,3600,0.84375
r2,0.8,30,300,0.659461805556
r2,0.8,30,600,0.811284722222
r2,0.8,30,900,0.392708333333
r2,0.8,30,1800,0.5625
r2,0.8,30,3600,0.857291666667
r2,0.8,60,300,0.59609375
r2,0.8,60,600,0.635243055556
r2,0.8,60,900,0.352604166667
r2,0.8,60,1800,0.550520833333
r2,0.8,60,3600,0.8625
r2,0.8,300,900,0.7953125
r2,0.8,300,1800,0.684375
r2,0.8,300,3600,0.79375
r2,0.8,600,1800,0.777083333333
r2,0.8,600,3600,0.767708333333
r2,0.8,900,3600,0.717708333333
r3,0.3,1,300,0.992854307265
r3,0.3,1,600,0.388326848249
r3,0.3,1,900,0.988532110092
r3,0.3,1,1800,0.713646532438
r3,0.3,1,3600,0.79203539823
r3,0.3,5,300,0.704101951414
r3,0.3,5,600,0.634165366615
r3,0.3,5,900,0.774712643678
r3,0.3,5,1800,0.523489932886
r3,0.3,5,3600,0.805309734513
r3,0.3,10,300,0.690923630548
r3,0.3,10,600,0.759968725567
r3,0.3,10,900,0.736175115207
r3,0.3,10,1800,0.740492170022
r3,0.3,10,3600,0.761061946903
r3,0.3,30,300,0.655823293173
r3,0.3,30,600,0.594807238395
r3,0.3,30,900,0.819653179191
r3,0.3,30,1800,0.616591928251
r3,0.3,30,3600,0.756637168142
r3,0.3,60,300,0.772617124394
r3,0.3,60,600,0.716429699842
r3,0.3,60,900,0.724738675958
r3,0.3,60,1800,0.497757847534
r3,0.3,60,3600,0.637168141593
r3,0.3,300,900,0.735757575758
r3,0.3,300,1800,0.463133640553
r3,0.3,300,3600,0.685840707965
r3,0.3,600,1800,0.747016706444
r3,0.3,600,3600,0.805429864253
r3,0.3,900,3600,0.531818181818
r3,0.4,1,300,0.721858248958
r3,0.4,1,600,0.0163455925277
r3,0.4,1,900,0.763542562339
r3,0.4,1,1800,0.278523489933
r3,0.4,1,3600,0.235880398671
r3,0.4,5,300,0.764934289128
r3,0.4,5,600,0.657694558221
r3,0.4,5,900,0.771354616048
r3,0.4,5,1800,0.634228187919
r3,0.4,5,3600,0.43853820598
r3,0.4,10,300,0.672563718141
